Fråga,Frågetyp,Nivå,Svar,Miniräknare tillåten
Förenkla: $3x + 5 + 3x + 1$. Svar: {{input}},text,1,$6x + 6$,Nej
Förenkla: $4x + 6 + 4x + 4$. Svar: {{input}},text,1,$8x + 10$,Nej
Förenkla: $5x - 6 + 5x - 6$. Svar: {{input}},text,1,$10x - 12$,Nej
Förenkla: $x - 5 + 2x - 3$. Svar: {{input}},text,1,$3x - 8$,Nej
Förenkla: $2x - 4 + 3x + 0$. Svar: {{input}},text,1,$5x - 4$,Nej
Förenkla: $3x - 3 + 4x + 3$. Svar: {{input}},text,1,$7x$,Nej
Förenkla: $4x - 2 + 5x + 6$. Svar: {{input}},text,1,$9x + 4$,Nej
Förenkla: $5x - 1 + 2x - 4$. Svar: {{input}},text,1,$7x - 5$,Nej
Förenkla: $x + 0 + 3x - 1$. Svar: {{input}},text,1,$4x - 1$,Nej
Förenkla: $2x + 1 + 4x + 2$. Svar: {{input}},text,1,$6x + 3$,Nej
Förenkla: $3x + 2 + 5x + 5$. Svar: {{input}},text,1,$8x + 7$,Nej
Förenkla: $4x + 3 + 2x - 5$. Svar: {{input}},text,1,$6x - 2$,Nej
Förenkla: $5x + 4 + 3x - 2$. Svar: {{input}},text,1,$8x + 2$,Nej
"Förenkla: $1,5x - 0,7 - 0,5x - 0,7$. Svar: {{input}}",text,2,"$x - 1,4$",Nej
"Förenkla: $1,6x - 0,4 - 0,6x + 0$. Svar: {{input}}",text,2,"$x - 0,4$",Nej
"Förenkla: $1,7x - 0,1 - 0,7x + 0,7$. Svar: {{input}}",text,2,"$x + 0,6$",Nej
"Förenkla: $1,8x + 0,2 - 0,8x - 0,1$. Svar: {{input}}",text,2,"$x + 0,1$",Nej
"Förenkla: $1,9x + 0,5 - 0,9x + 0,6$. Svar: {{input}}",text,2,"$x + 1,1$",Nej
"Förenkla: $2x - 0,7 - 0,5x - 0,2$. Svar: {{input}}",text,2,"$1,5x - 0,9$",Nej
"Förenkla: $1,5x - 0,4 - 0,6x + 0,5$. Svar: {{input}}",text,2,"$0,9x + 0,1$",Nej
"Förenkla: $1,6x - 0,1 - 0,7x - 0,3$. Svar: {{input}}",text,2,"$0,9x - 0,4$",Nej
"Förenkla: $1,7x + 0,2 - 0,8x + 0,4$. Svar: {{input}}",text,2,"$0,9x + 0,6$",Nej
"Förenkla: $1,8x + 0,5 - 0,9x - 0,4$. Svar: {{input}}",text,2,"$0,9x + 0,1$",Nej
"Förenkla: $1,9x - 0,7 - 0,5x + 0,3$. Svar: {{input}}",text,2,"$1,4x - 0,4$",Nej
"Förenkla: $2x - 0,4 - 0,6x - 0,5$. Svar: {{input}}",text,2,"$1,4x - 0,9$",Nej
"Förenkla: $1,5x - 0,1 - 0,7x + 0,2$. Svar: {{input}}",text,2,"$0,8x + 0,1$",Nej
"Förenkla: $1,6x + 0,2 - 0,8x - 0,6$. Svar: {{input}}",text,2,"$0,8x - 0,4$",Nej
"Förenkla: $1,7x + 0,5 - 0,9x + 0,1$. Svar: {{input}}",text,2,"$0,8x + 0,6$",Nej
"Förenkla: $1,8x - 0,7 - 0,5x - 0,7$. Svar: {{input}}",text,2,"$1,3x - 1,4$",Nej
"Förenkla: $1,9x - 0,4 - 0,6x + 0$. Svar: {{input}}",text,2,"$1,3x - 0,4$",Nej
"Förenkla: $2x - 0,1 - 0,7x + 0,7$. Svar: {{input}}",text,2,"$1,3x + 0,6$",Nej
"Förenkla: $1,5x + 0,2 - 0,8x - 0,1$. Svar: {{input}}",text,2,"$0,7x + 0,1$",Nej
"Förenkla: $1,6x + 0,5 - 0,9x + 0,6$. Svar: {{input}}",text,2,"$0,7x + 1,1$",Nej
"Förenkla: $1,7x - 0,7 - 0,5x - 0,2$. Svar: {{input}}",text,2,"$1,2x - 0,9$",Nej
"Förenkla: $1,8x - 0,4 - 0,6x + 0,5$. Svar: {{input}}",text,2,"$1,2x + 0,1$",Nej
"Förenkla: $1,9x - 0,1 - 0,7x - 0,3$. Svar: {{input}}",text,2,"$1,2x - 0,4$",Nej
"Förenkla: $2x + 0,2 - 0,8x + 0,4$. Svar: {{input}}",text,2,"$1,2x + 0,6$",Nej
"Förenkla: $1,5x + 0,5 - 0,9x - 0,4$. Svar: {{input}}",text,2,"$0,6x + 0,1$",Nej
"Förenkla: $1,6x - 0,7 - 0,5x + 0,3$. Svar: {{input}}",text,2,"$1,1x - 0,4$",Nej
"Förenkla: $1,7x - 0,4 - 0,6x - 0,5$. Svar: {{input}}",text,2,"$1,1x - 0,9$",Nej
"Förenkla: $1,8x - 0,1 - 0,7x + 0,2$. Svar: {{input}}",text,2,"$1,1x + 0,1$",Nej
"Förenkla: $1,9x + 0,2 - 0,8x - 0,6$. Svar: {{input}}",text,2,"$1,1x - 0,4$",Nej
"Förenkla: $2x + 0,5 - 0,9x + 0,1$. Svar: {{input}}",text,2,"$1,1x + 0,6$",Nej
"Förenkla: $1,5x - 0,7 - 0,5x - 0,7$. Svar: {{input}}",text,2,"$x - 1,4$",Nej
"Förenkla: $1,6x - 0,4 - 0,6x + 0$. Svar: {{input}}",text,2,"$x - 0,4$",Nej
"Förenkla: $1,7x - 0,1 - 0,7x + 0,7$. Svar: {{input}}",text,2,"$x + 0,6$",Nej
"Förenkla: $1,8x + 0,2 - 0,8x - 0,1$. Svar: {{input}}",text,2,"$x + 0,1$",Nej
"Förenkla: $1,9x + 0,5 - 0,9x + 0,6$. Svar: {{input}}",text,2,"$x + 1,1$",Nej
"Förenkla: $2x - 0,7 - 0,5x - 0,2$. Svar: {{input}}",text,2,"$1,5x - 0,9$",Nej
"Förenkla: $1,5x - 0,4 - 0,6x + 0,5$. Svar: {{input}}",text,2,"$0,9x + 0,1$",Nej
"Förenkla: $1,6x - 0,1 - 0,7x - 0,3$. Svar: {{input}}",text,2,"$0,9x - 0,4$",Nej
"Förenkla: $1,7x + 0,2 - 0,8x + 0,4$. Svar: {{input}}",text,2,"$0,9x + 0,6$",Nej
"Förenkla: $1,8x + 0,5 - 0,9x - 0,4$. Svar: {{input}}",text,2,"$0,9x + 0,1$",Nej
"Förenkla: $1,9x - 0,7 - 0,5x + 0,3$. Svar: {{input}}",text,2,"$1,4x - 0,4$",Nej
"Förenkla: $2x - 0,4 - 0,6x - 0,5$. Svar: {{input}}",text,2,"$1,4x - 0,9$",Nej
"Förenkla: $1,5x - 0,1 - 0,7x + 0,2$. Svar: {{input}}",text,2,"$0,8x + 0,1$",Nej
"Förenkla: $1,6x + 0,2 - 0,8x - 0,6$. Svar: {{input}}",text,2,"$0,8x - 0,4$",Nej
"Förenkla: $1,7x + 0,5 - 0,9x + 0,1$. Svar: {{input}}",text,2,"$0,8x + 0,6$",Nej
"Förenkla: $1,8x - 0,7 - 0,5x - 0,7$. Svar: {{input}}",text,2,"$1,3x - 1,4$",Nej
"Förenkla: $1,9x - 0,4 - 0,6x + 0$. Svar: {{input}}",text,2,"$1,3x - 0,4$",Nej
"Förenkla: $2x - 0,1 - 0,7x + 0,7$. Svar: {{input}}",text,2,"$1,3x + 0,6$",Nej
"Förenkla: $1,5x + 0,2 - 0,8x - 0,1$. Svar: {{input}}",text,2,"$0,7x + 0,1$",Nej
"Förenkla: $1,6x + 0,5 - 0,9x + 0,6$. Svar: {{input}}",text,2,"$0,7x + 1,1$",Nej
Förenkla: $\frac{x+1}{3} + \frac{2x}{5}$. Svar: {{input}},text,3,$\frac{11x+5}{15}$,Nej
Förenkla: $\frac{x-2}{2} + \frac{3x+1}{4}$. Svar: {{input}},text,3,$\frac{5x-3}{4}$,Nej
Förenkla: $\frac{2x+1}{5} + \frac{x-3}{3}$. Svar: {{input}},text,3,$\frac{11x-12}{15}$,Nej
Förenkla: $\frac{3x-1}{4} + \frac{2x+2}{5}$. Svar: {{input}},text,3,$\frac{23x+3}{20}$,Nej
Förenkla: $\frac{x+2}{3} + \frac{2x-1}{5}$. Svar: {{input}},text,3,$\frac{11x+7}{15}$,Nej
Förenkla: $\frac{x-1}{2} + \frac{3x}{4}$. Svar: {{input}},text,3,$\frac{5x-2}{4}$,Nej
Förenkla: $\frac{2x+2}{5} + \frac{x-4}{3}$. Svar: {{input}},text,3,$\frac{11x-14}{15}$,Nej
Förenkla: $\frac{3x}{4} + \frac{2x+1}{5}$. Svar: {{input}},text,3,$\frac{23x+4}{20}$,Nej
Förenkla: $\frac{x+3}{3} + \frac{2x-2}{5}$. Svar: {{input}},text,3,$\frac{11x+9}{15}$,Nej
Förenkla: $\frac{x}{2} + \frac{3x-1}{4}$. Svar: {{input}},text,3,$\frac{5x-1}{4}$,Nej
Förenkla: $\frac{2x+3}{5} + \frac{x-5}{3}$. Svar: {{input}},text,3,$\frac{11x-16}{15}$,Nej
Förenkla: $\frac{3x+1}{4} + \frac{2x}{5}$. Svar: {{input}},text,3,$\frac{23x+5}{20}$,Nej
Förenkla: $\frac{x+4}{3} + \frac{2x-3}{5}$. Svar: {{input}},text,3,$\frac{11x+11}{15}$,Nej
Förenkla: $\frac{x+1}{2} + \frac{3x-2}{4}$. Svar: {{input}},text,3,$\frac{5x}{4}$,Nej
Förenkla: $\frac{2x+4}{5} + \frac{x-6}{3}$. Svar: {{input}},text,3,$\frac{11x-18}{15}$,Nej
Förenkla: $\frac{3x+2}{4} + \frac{2x-1}{5}$. Svar: {{input}},text,3,$\frac{23x+6}{20}$,Nej
Förenkla: $\frac{x+1}{3} + \frac{2x}{5}$. Svar: {{input}},text,3,$\frac{11x+5}{15}$,Nej
Förenkla: $\frac{x-2}{2} + \frac{3x+1}{4}$. Svar: {{input}},text,3,$\frac{5x-3}{4}$,Nej
Förenkla: $\frac{2x+1}{5} + \frac{x-3}{3}$. Svar: {{input}},text,3,$\frac{11x-12}{15}$,Nej
Förenkla: $\frac{3x-1}{4} + \frac{2x+2}{5}$. Svar: {{input}},text,3,$\frac{23x+3}{20}$,Nej
Förenkla: $\frac{x+2}{3} + \frac{2x-1}{5}$. Svar: {{input}},text,3,$\frac{11x+7}{15}$,Nej
Förenkla: $\frac{x-1}{2} + \frac{3x}{4}$. Svar: {{input}},text,3,$\frac{5x-2}{4}$,Nej
Förenkla: $\frac{2x+2}{5} + \frac{x-4}{3}$. Svar: {{input}},text,3,$\frac{11x-14}{15}$,Nej
Förenkla: $\frac{3x}{4} + \frac{2x+1}{5}$. Svar: {{input}},text,3,$\frac{23x+4}{20}$,Nej
Förenkla: $\frac{x+3}{3} + \frac{2x-2}{5}$. Svar: {{input}},text,3,$\frac{11x+9}{15}$,Nej
Förenkla: $\frac{x}{2} + \frac{3x-1}{4}$. Svar: {{input}},text,3,$\frac{5x-1}{4}$,Nej
Förenkla: $\frac{2x+3}{5} + \frac{x-5}{3}$. Svar: {{input}},text,3,$\frac{11x-16}{15}$,Nej
Förenkla: $\frac{3x+1}{4} + \frac{2x}{5}$. Svar: {{input}},text,3,$\frac{23x+5}{20}$,Nej
Förenkla: $\frac{x+4}{3} + \frac{2x-3}{5}$. Svar: {{input}},text,3,$\frac{11x+11}{15}$,Nej
Förenkla: $\frac{x+1}{2} + \frac{3x-2}{4}$. Svar: {{input}},text,3,$\frac{5x}{4}$,Nej
Förenkla: $\frac{2x+4}{5} + \frac{x-6}{3}$. Svar: {{input}},text,3,$\frac{11x-18}{15}$,Nej
Förenkla: $\frac{3x+2}{4} + \frac{2x-1}{5}$. Svar: {{input}},text,3,$\frac{23x+6}{20}$,Nej
Förenkla: $\frac{x+1}{3} + \frac{2x}{5}$. Svar: {{input}},text,3,$\frac{11x+5}{15}$,Nej
Förenkla: $\frac{x-2}{2} + \frac{3x+1}{4}$. Svar: {{input}},text,3,$\frac{5x-3}{4}$,Nej
Förenkla: $\frac{2x+1}{5} + \frac{x-3}{3}$. Svar: {{input}},text,3,$\frac{11x-12}{15}$,Nej
Förenkla: $\frac{3x-1}{4} + \frac{2x+2}{5}$. Svar: {{input}},text,3,$\frac{23x+3}{20}$,Nej
Förenkla: $\frac{x+2}{3} + \frac{2x-1}{5}$. Svar: {{input}},text,3,$\frac{11x+7}{15}$,Nej
Förenkla: $\frac{x-1}{2} + \frac{3x}{4}$. Svar: {{input}},text,3,$\frac{5x-2}{4}$,Nej
Förenkla: $\frac{2x+2}{5} + \frac{x-4}{3}$. Svar: {{input}},text,3,$\frac{11x-14}{15}$,Nej
Förenkla: $\frac{3x}{4} + \frac{2x+1}{5}$. Svar: {{input}},text,3,$\frac{23x+4}{20}$,Nej
Förenkla: $\frac{x+3}{3} + \frac{2x-2}{5}$. Svar: {{input}},text,3,$\frac{11x+9}{15}$,Nej
Förenkla: $\frac{x}{2} + \frac{3x-1}{4}$. Svar: {{input}},text,3,$\frac{5x-1}{4}$,Nej
Förenkla: $\frac{2x+3}{5} + \frac{x-5}{3}$. Svar: {{input}},text,3,$\frac{11x-16}{15}$,Nej
Förenkla: $\frac{3x+1}{4} + \frac{2x}{5}$. Svar: {{input}},text,3,$\frac{23x+5}{20}$,Nej
Förenkla: $\frac{x+4}{3} + \frac{2x-3}{5}$. Svar: {{input}},text,3,$\frac{11x+11}{15}$,Nej
Förenkla: $\frac{x+1}{2} + \frac{3x-2}{4}$. Svar: {{input}},text,3,$\frac{5x}{4}$,Nej
Förenkla: $\frac{2x+4}{5} + \frac{x-6}{3}$. Svar: {{input}},text,3,$\frac{11x-18}{15}$,Nej
Förenkla: $\frac{3x+2}{4} + \frac{2x-1}{5}$. Svar: {{input}},text,3,$\frac{23x+6}{20}$,Nej
Förenkla: $\frac{x+1}{3} + \frac{2x}{5}$. Svar: {{input}},text,3,$\frac{11x+5}{15}$,Nej
Förenkla: $\frac{x-2}{2} + \frac{3x+1}{4}$. Svar: {{input}},text,3,$\frac{5x-3}{4}$,Nej
