Fråga,Frågetyp,Nivå,Svar,Miniräknare tillåten
$3(x + 1) = \frac{9}{2}$,equation,2,"0,5",Nej
$\frac{2x}{3} - 1 = \frac{1}{3}$,equation,2,2,Nej
$4x + 4x - 12 = 0$,equation,2,"1,5",Nej
$\frac{x}{2} - 3 = \frac{-2}{2}$,equation,2,4,Nej
$3(x - 2) = \frac{3}{2}$,equation,2,"2,5",Nej
$\frac{2x}{3} + 3 = \frac{21}{3}$,equation,2,6,Nej
$4x + 4x - 28 = 0$,equation,2,"3,5",Nej
$\frac{x}{2} + 1 = \frac{10}{2}$,equation,2,8,Nej
$3(x + 2) = \frac{39}{2}$,equation,2,"4,5",Nej
$\frac{2x}{3} - 2 = \frac{14}{3}$,equation,2,10,Nej
$4x + 4x + 40 = 0$,equation,2,-5,Nej
$\frac{x}{2} - 2 = \frac{-13}{2}$,equation,2,-9,Nej
$3(x - 1) = \frac{-30}{2}$,equation,2,-4,Nej
$\frac{2x}{3} + 2 = \frac{-8}{3}$,equation,2,-7,Nej
$4x + 4x + 24 = 0$,equation,2,-3,Nej
$\frac{x}{2} + 2 = \frac{-1}{2}$,equation,2,-5,Nej
$3(x + 3) = \frac{6}{2}$,equation,2,-2,Nej
$\frac{2x}{3} - 3 = \frac{-15}{3}$,equation,2,-3,Nej
$4x + 4x + 8 = 0$,equation,2,-1,Nej
$\frac{x}{2} - 1 = \frac{-3}{2}$,equation,2,-1,Nej
$3(x + 0) = \frac{0}{2}$,equation,2,0,Nej
$\frac{2x}{3} + 1 = \frac{5}{3}$,equation,2,1,Nej
$4x + 4x - 8 = 0$,equation,2,1,Nej
$\frac{x}{2} + 3 = \frac{9}{2}$,equation,2,3,Nej
$3(x - 3) = \frac{-6}{2}$,equation,2,2,Nej
$\frac{2x}{3} - 4 = \frac{-2}{3}$,equation,2,5,Nej
$4x + 4x - 24 = 0$,equation,2,3,Nej
$\frac{x}{2} + 0 = \frac{7}{2}$,equation,2,7,Nej
$3(x + 1) = \frac{30}{2}$,equation,2,4,Nej
$\frac{2x}{3} + 0 = \frac{18}{3}$,equation,2,9,Nej
$4x + 4x - 40 = 0$,equation,2,5,Nej
$\frac{x}{2} - 3 = \frac{-16}{2}$,equation,2,-10,Nej
$3(x - 2) = \frac{-39}{2}$,equation,2,"-4,5",Nej
$\frac{2x}{3} + 4 = \frac{-4}{3}$,equation,2,-8,Nej
$4x + 4x + 28 = 0$,equation,2,"-3,5",Nej
$\frac{x}{2} + 1 = \frac{-4}{2}$,equation,2,-6,Nej
$3(x + 2) = \frac{-3}{2}$,equation,2,"-2,5",Nej
$\frac{2x}{3} - 1 = \frac{-11}{3}$,equation,2,-4,Nej
$4x + 4x + 12 = 0$,equation,2,"-1,5",Nej
$\frac{x}{3} + \frac{2x}{2} = \frac{-40}{3}$,equation,3,-10,Nej
$\frac{x + 3}{2} - 5^2 = \frac{-103}{4}$,equation,3,"-4,5",Nej
$\frac{2x - 1}{3} + \frac{x + 2}{2} = \frac{-55}{6}$,equation,3,-8,Nej
$\frac{x - 4}{2} + \frac{3x}{4} = \frac{-51}{8}$,equation,3,"-3,5",Nej
$\frac{x}{3} + \frac{2x}{2} = \frac{-24}{3}$,equation,3,-6,Nej
$\frac{x + 3}{2} - 5^2 = \frac{-99}{4}$,equation,3,"-2,5",Nej
$\frac{2x - 1}{3} + \frac{x + 2}{2} = \frac{-27}{6}$,equation,3,-4,Nej
$\frac{x - 4}{2} + \frac{3x}{4} = \frac{-31}{8}$,equation,3,"-1,5",Nej
$\frac{x}{3} + \frac{2x}{2} = \frac{-8}{3}$,equation,3,-2,Nej
$\frac{x + 3}{2} - 5^2 = \frac{-95}{4}$,equation,3,"-0,5",Nej
$\frac{2x - 1}{3} + \frac{x + 2}{2} = \frac{1}{6}$,equation,3,0,Nej
$\frac{x - 4}{2} + \frac{3x}{4} = \frac{-11}{8}$,equation,3,"0,5",Nej
$\frac{x}{3} + \frac{2x}{2} = \frac{8}{3}$,equation,3,2,Nej
$\frac{x + 3}{2} - 5^2 = \frac{-91}{4}$,equation,3,"1,5",Nej
$\frac{2x - 1}{3} + \frac{x + 2}{2} = \frac{29}{6}$,equation,3,4,Nej
$\frac{x - 4}{2} + \frac{3x}{4} = \frac{9}{8}$,equation,3,"2,5",Nej
$\frac{x}{3} + \frac{2x}{2} = \frac{24}{3}$,equation,3,6,Nej
$\frac{x + 3}{2} - 5^2 = \frac{-87}{4}$,equation,3,"3,5",Nej
$\frac{2x - 1}{3} + \frac{x + 2}{2} = \frac{57}{6}$,equation,3,8,Nej
$\frac{x - 4}{2} + \frac{3x}{4} = \frac{29}{8}$,equation,3,"4,5",Nej
$\frac{x}{3} + \frac{2x}{2} = \frac{40}{3}$,equation,3,10,Nej
$\frac{x + 3}{2} - 5^2 = \frac{-104}{4}$,equation,3,-5,Nej
$\frac{2x - 1}{3} + \frac{x + 2}{2} = \frac{-62}{6}$,equation,3,-9,Nej
$\frac{x - 4}{2} + \frac{3x}{4} = \frac{-56}{8}$,equation,3,-4,Nej
$\frac{x}{3} + \frac{2x}{2} = \frac{-28}{3}$,equation,3,-7,Nej
$\frac{x + 3}{2} - 5^2 = \frac{-100}{4}$,equation,3,-3,Nej
$\frac{2x - 1}{3} + \frac{x + 2}{2} = \frac{-34}{6}$,equation,3,-5,Nej
$\frac{x - 4}{2} + \frac{3x}{4} = \frac{-36}{8}$,equation,3,-2,Nej
$\frac{x}{3} + \frac{2x}{2} = \frac{-12}{3}$,equation,3,-3,Nej
$\frac{x + 3}{2} - 5^2 = \frac{-96}{4}$,equation,3,-1,Nej
$\frac{2x - 1}{3} + \frac{x + 2}{2} = \frac{-6}{6}$,equation,3,-1,Nej
$\frac{x - 4}{2} + \frac{3x}{4} = \frac{-16}{8}$,equation,3,0,Nej
$\frac{x}{3} + \frac{2x}{2} = \frac{4}{3}$,equation,3,1,Nej
$\frac{x + 3}{2} - 5^2 = \frac{-92}{4}$,equation,3,1,Nej
$\frac{2x - 1}{3} + \frac{x + 2}{2} = \frac{22}{6}$,equation,3,3,Nej
$\frac{x - 4}{2} + \frac{3x}{4} = \frac{4}{8}$,equation,3,2,Nej
$\frac{x}{3} + \frac{2x}{2} = \frac{20}{3}$,equation,3,5,Nej
$\frac{x + 3}{2} - 5^2 = \frac{-88}{4}$,equation,3,3,Nej
$\frac{2x - 1}{3} + \frac{x + 2}{2} = \frac{50}{6}$,equation,3,7,Nej
$\frac{x - 4}{2} + \frac{3x}{4} = \frac{24}{8}$,equation,3,4,Nej
$\frac{x}{3} + \frac{2x}{2} = \frac{36}{3}$,equation,3,9,Nej
$\frac{x + 3}{2} - 5^2 = \frac{-84}{4}$,equation,3,5,Nej
$\frac{2x - 1}{3} + \frac{x + 2}{2} = \frac{-69}{6}$,equation,3,-10,Nej
$\frac{x - 4}{2} + \frac{3x}{4} = \frac{-61}{8}$,equation,3,"-4,5",Nej
$\frac{x}{3} + \frac{2x}{2} = \frac{-32}{3}$,equation,3,-8,Nej
$\frac{x + 3}{2} - 5^2 = \frac{-101}{4}$,equation,3,"-3,5",Nej
$\frac{2x - 1}{3} + \frac{x + 2}{2} = \frac{-41}{6}$,equation,3,-6,Nej
$\frac{x - 4}{2} + \frac{3x}{4} = \frac{-41}{8}$,equation,3,"-2,5",Nej
$\frac{x}{3} + \frac{2x}{2} = \frac{-16}{3}$,equation,3,-4,Nej
$\frac{x + 3}{2} - 5^2 = \frac{-97}{4}$,equation,3,"-1,5",Nej
