Fråga,Frågetyp,Nivå,Korrekta alternativ,Miniräknare tillåten,Alternativ 1,Alternativ 2,Alternativ 3,Alternativ 4,Alternativ 5
Vilka räta linjer är parallella med varandra?,multiple_choice,1,1;5,Nej,$5x - y + 7 = 0$,$5x - 2y + 11 = 0$,$y=-5x + 2$,$2x - 5y - 2 = 0$,$y=5x + 4$
Vilka räta linjer är parallella med varandra?,multiple_choice,1,1;4,Nej,$-2x - y + 1 = 0$,$-2x - 3y + 6 = 0$,$3x + 2y - 11 = 0$,$y=-2x - 3$,$y=2x - 6$
Vilka räta linjer är parallella med varandra?,multiple_choice,1,1;4,Nej,$-3x - y + 4 = 0$,$-3x - 2y + 5 = 0$,$2x + 3y - 3 = 0$,$y=-3x - 1$,$y=3x - 2$
Vilka räta linjer är parallella med varandra?,multiple_choice,1,1;4,Nej,$-4x - y + 3 = 0$,$-4x - 2y + 5 = 0$,$y=4x - 1$,$y=-4x + 1$,$2x + 4y - 3 = 0$
Vilka räta linjer är parallella med varandra?,multiple_choice,1,1;4,Nej,$-5x - y + 6 = 0$,$y=5x$,$-5x - 2y + 9 = 0$,$y=-5x + 3$,$2x + 5y - 3 = 0$
Vilka räta linjer är parallella med varandra?,multiple_choice,1,4;5,Nej,$y=-6x - 5$,$6x - 2y + 4 = 0$,$2x - 6y - 9 = 0$,$y=6x - 4$,$6x - y = 0$
Vilka räta linjer är parallella med varandra?,multiple_choice,1,4;5,Nej,$y=6x - 4$,$-6x - 2y + 8 = 0$,$2x + 6y - 9 = 0$,$y=-6x - 2$,$-6x - y + 3 = 0$
Vilka räta linjer är parallella med varandra?,multiple_choice,1,3;4,Nej,$y=-2x - 3$,$3x - 2y - 4 = 0$,$2x - y + 2 = 0$,$y=2x$,$2x - 3y + 3 = 0$
Vilka räta linjer är parallella med varandra?,multiple_choice,1,3;4,Nej,$y=-3x + 1$,$2x - 3y - 1 = 0$,$3x - y + 5 = 0$,$y=3x + 2$,$3x - 2y + 7 = 0$
Vilka räta linjer är parallella med varandra?,multiple_choice,1,1;5,Nej,$4x - y + 8 = 0$,$y=-4x + 2$,$4x - 2y + 11 = 0$,$2x - 4y - 1 = 0$,$y=4x + 4$
Vilka räta linjer är parallella med varandra?,multiple_choice,1,1;5,Nej,$5x - y + 2 = 0$,$5x - 2y + 6 = 0$,$y=-5x - 6$,$2x - 5y - 10 = 0$,$y=5x - 3$
Vilka räta linjer är parallella med varandra?,multiple_choice,1,3;4,Nej,$3x + 2y - 7 = 0$,$-2x - 3y + 6 = 0$,$-2x - y + 1 = 0$,$y=-2x - 1$,$y=2x - 2$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,1;4,Nej,$x + 2y - 2 = 0$,$-3x + y - 1 = 0$,$-x + y - 6 = 0$,$y=2x - 4$,$y=-2x - 5$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,1;4,Nej,$x + 3y + 1 = 0$,$y=-3x - 4$,$-4x + y + 3 = 0$,$y=3x - 2$,$-2x + y - 6 = 0$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,1;4,Nej,$x + 4y + 4 = 0$,$-5x + y + 7 = 0$,$y=-4x - 3$,$y=4x$,$-3x + y - 6 = 0$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,4;5,Nej,$y=-5x + 1$,$-6x + y + 11 = 0$,$-4x + y - 3 = 0$,$y=5x + 2$,$x + 5y + 7 = 0$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,4;5,Nej,$3x + y - 3 = 0$,$y=2x + 2$,$x + y + 11 = 0$,$y=-2x + 4$,$x - 2y + 6 = 0$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,1;4,Nej,$x - 3y = 0$,$y=3x - 6$,$4x + y - 7 = 0$,$y=-3x - 3$,$2x + y + 1 = 0$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,3;4,Nej,$y=4x - 2$,$5x + y - 4 = 0$,$x - 4y + 3 = 0$,$y=-4x - 1$,$3x + y + 5 = 0$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,1;5,Nej,$x - 5y + 6 = 0$,$4x + y + 9 = 0$,$y=5x - 1$,$6x + y - 4 = 0$,$y=-5x + 1$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,1;5,Nej,$x + 6y + 5 = 0$,$-7x + y + 9 = 0$,$y=-6x$,$-5x + y - 4 = 0$,$y=6x + 3$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,3;4,Nej,$7x + y - 10 = 0$,$5x + y + 4 = 0$,$x - 6y - 1 = 0$,$y=-6x - 4$,$y=6x - 5$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,1;4,Nej,$x + 2y + 2 = 0$,$-3x + y + 3 = 0$,$-x + y - 5 = 0$,$y=2x - 2$,$y=-2x - 4$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,1;4,Nej,$x + 3y + 5 = 0$,$-4x + y + 7 = 0$,$y=-3x - 3$,$y=3x$,$-2x + y - 5 = 0$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,1;4,Nej,$x + 4y + 4 = 0$,$y=-4x + 1$,$-5x + y + 7 = 0$,$y=4x + 2$,$-3x + y - 2 = 0$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,4;5,Nej,$y=-5x + 2$,$-6x + y + 11 = 0$,$-4x + y - 2 = 0$,$y=5x + 4$,$x + 5y + 7 = 0$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,4;5,Nej,$y=2x - 6$,$x + y + 6 = 0$,$3x + y - 11 = 0$,$y=-2x - 3$,$x - 2y + 1 = 0$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,3;4,Nej,$y=3x - 2$,$4x + y - 3 = 0$,$x - 3y + 4 = 0$,$y=-3x - 1$,$2x + y + 5 = 0$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,1;4,Nej,$x - 4y + 3 = 0$,$5x + y - 3 = 0$,$y=4x - 1$,$y=-4x + 1$,$3x + y + 5 = 0$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,3;5,Nej,$y=5x$,$4x + y + 9 = 0$,$x - 5y + 6 = 0$,$6x + y - 3 = 0$,$y=-5x + 3$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,1;5,Nej,$x + 6y = 0$,$-7x + y + 4 = 0$,$y=-6x - 5$,$-5x + y - 9 = 0$,$y=6x - 4$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,1;4,Nej,$x - 6y + 3 = 0$,$5x + y + 8 = 0$,$7x + y - 9 = 0$,$y=-6x - 2$,$y=6x - 4$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,1;4,Nej,$x + 2y + 2 = 0$,$-x + y - 4 = 0$,$-3x + y + 3 = 0$,$y=2x$,$y=-2x - 3$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,1;4,Nej,$x + 3y + 5 = 0$,$y=-3x + 1$,$-4x + y + 7 = 0$,$y=3x + 2$,$-2x + y - 1 = 0$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,4;5,Nej,$-3x + y - 1 = 0$,$-5x + y + 11 = 0$,$y=-4x + 2$,$y=4x + 4$,$x + 4y + 8 = 0$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,4;5,Nej,$y=-5x - 6$,$-6x + y + 6 = 0$,$-4x + y - 10 = 0$,$y=5x - 3$,$x + 5y + 2 = 0$
Vilka räta linjer är vinkelräta mot varandra?,multiple_choice,2,1;4,Nej,$x - 2y + 1 = 0$,$3x + y - 7 = 0$,$y=2x - 2$,$y=-2x - 1$,$x + y + 6 = 0$
